# Weather station Moscow, Russia, WMO_ID=27612,selection from 01.02.2022 till 01.02.2023, all days
# Encoding: Unicode
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27612&lang=en
#
"Local time in Moscow";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.01.2023 15:00";"0.7";"736.1";"750.0";"0.2";"78";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-2.7";"";"";"";"";"";"";
"31.01.2023 12:00";"-0.2";"735.9";"749.8";"1.1";"82";"Wind blowing from the south-southwest";"2";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-3.0";"";"";"";"";"";"";
"31.01.2023 09:00";"-0.8";"734.8";"748.7";"0.8";"83";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-1.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-3.3";"0.6";"12";"";"";"Even layer of loose dry snow covering ground completely.";"25.0";
"31.01.2023 06:00";"-1.0";"734.0";"747.9";"0.1";"82";"Wind blowing from the south";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-1.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-3.8";"0.6";"12";"";"";"";"";
"31.01.2023 03:00";"-1.5";"733.9";"747.7";"0.0";"87";"Wind blowing from the south";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"6.0";"-3.4";"";"";"";"";"";"";
"31.01.2023 00:00";"-1.3";"733.9";"747.7";"-0.1";"88";"Wind blowing from the south";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.1";"-3.0";"";"";"";"";"";"";
"30.01.2023 21:00";"-0.4";"734.0";"747.8";"-0.2";"78";"Wind blowing from the south-southwest";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-0.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-3.8";"0.7";"12";"";"";"";"";
"30.01.2023 18:00";"-0.5";"734.2";"748.1";"-1.1";"82";"Wind blowing from the south-southwest";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-3.3";"0.7";"12";"";"";"";"";
"30.01.2023 15:00";"-0.9";"735.3";"749.2";"-1.8";"85";"Wind blowing from the south";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Shower(s).";"Snow and/or other types of solid precipitation";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"6.0";"-3.2";"";"";"";"";"";"";
"30.01.2023 12:00";"-1.7";"737.1";"751.0";"-1.3";"88";"Wind blowing from the south";"1";"";"";"100%.";"Snow shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"300-600";"";"";"3.0";"-3.4";"";"";"";"";"";"";
"30.01.2023 09:00";"-2.2";"738.4";"752.4";"-1.9";"84";"Wind blowing from the south";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-4.6";"Trace of precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"23.0";
"30.01.2023 06:00";"-2.6";"740.3";"754.4";"-1.8";"88";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"19.0";"-4.3";"0.1";"12";"";"";"";"";
"30.01.2023 03:00";"-2.4";"742.1";"756.2";"-1.4";"84";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"19.0";"-4.7";"";"";"";"";"";"";
"30.01.2023 00:00";"-2.3";"743.5";"757.6";"-0.9";"83";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-4.8";"";"";"";"";"";"";
"29.01.2023 21:00";"-2.1";"744.4";"758.5";"-0.5";"78";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-1.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-5.5";"0.1";"12";"";"";"";"";
"29.01.2023 18:00";"-1.9";"744.9";"759.1";"-0.7";"76";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-5.7";"No precipitation";"12";"";"";"";"";
"29.01.2023 15:00";"-1.5";"745.6";"759.7";"-1.6";"67";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"20.0";"-7.0";"";"";"";"";"";"";
"29.01.2023 12:00";"-1.9";"747.2";"761.4";"-0.9";"67";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"20.0";"-7.2";"";"";"";"";"";"";
"29.01.2023 09:00";"-3.0";"748.1";"762.4";"-1.1";"75";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"-3.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"20.0";"-6.9";"Trace of precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"23.0";
"29.01.2023 06:00";"-3.3";"749.2";"763.5";"-1.0";"78";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"-3.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-6.6";"Trace of precipitation";"12";"";"";"";"";
"29.01.2023 03:00";"-2.8";"750.2";"764.5";"-1.3";"84";"Calm, no wind";"0";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"15.0";"-5.1";"";"";"";"";"";"";
"29.01.2023 00:00";"-2.6";"751.5";"765.7";"-1.0";"86";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"-4.7";"";"";"";"";"";"";
"28.01.2023 21:00";"-2.8";"752.5";"766.8";"-0.7";"86";"Calm, no wind";"0";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-2.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"10.0";"-4.9";"Trace of precipitation";"12";"";"";"";"";
"28.01.2023 18:00";"-2.9";"753.2";"767.5";"-0.7";"82";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"13.0";"-5.5";"Trace of precipitation";"12";"";"";"";"";
"28.01.2023 15:00";"-3.1";"753.9";"768.3";"-1.0";"81";"Wind blowing from the north";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"15.0";"-5.9";"";"";"";"";"";"";
"28.01.2023 12:00";"-3.7";"754.9";"769.3";"0.1";"83";"Wind blowing from the north-northwest";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"16.0";"-6.2";"";"";"";"";"";"";
"28.01.2023 09:00";"-3.8";"754.8";"769.2";"0.5";"89";"Wind blowing from the north";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"19.0";"-5.3";"Trace of precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"23.0";
"28.01.2023 06:00";"-2.8";"754.3";"768.7";"0.3";"92";"Wind blowing from the north";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"20.0";"-4.0";"0.2";"12";"";"";"";"";
"28.01.2023 03:00";"-1.9";"754.0";"768.4";"0.6";"92";"Wind blowing from the north";"2";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"7.0";"-3.1";"";"";"";"";"";"";
"28.01.2023 00:00";"-1.5";"753.4";"767.7";"0.6";"93";"Calm, no wind";"0";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"";"-2.5";"";"";"";"";"";"";
"27.01.2023 21:00";"-2.0";"752.8";"767.2";"0.5";"91";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Shower(s).";"Snow and/or other types of solid precipitation";"";"-1.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus translucidus.";"";"6.0";"-3.3";"0.3";"12";"";"";"";"";
"27.01.2023 18:00";"-1.9";"752.3";"766.6";"0.9";"86";"Wind blowing from the west-southwest";"1";"";"";"90  or more, but not 100%";"Snow shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"-3.9";"0.1";"12";"";"";"";"";
"27.01.2023 15:00";"-1.7";"751.4";"765.7";"0.2";"81";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-4.5";"";"";"";"";"";"";
"27.01.2023 12:00";"-2.5";"751.2";"765.5";"0.4";"83";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"-5.1";"";"";"";"";"";"";
"27.01.2023 09:00";"-3.3";"750.8";"765.1";"0.5";"87";"Wind blowing from the south-west";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"12.0";"-5.2";"Trace of precipitation";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"22.0";
"27.01.2023 06:00";"-2.9";"750.3";"764.5";"-0.3";"84";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"-2.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-5.2";"0.1";"12";"";"";"";"";
"27.01.2023 03:00";"-2.4";"750.6";"764.9";"-0.1";"85";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"18.0";"-4.6";"";"";"";"";"";"";
"27.01.2023 00:00";"-1.8";"750.7";"765.0";"-0.4";"84";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"18.0";"-4.2";"";"";"";"";"";"";
"26.01.2023 21:00";"-1.7";"751.1";"765.4";"-0.2";"90";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Mist.  Diameter of glaze deposit is 1 mm.";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-1.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"9.0";"-3.2";"0.1";"12";"";"";"";"";
"26.01.2023 18:00";"-1.2";"751.3";"765.5";"0.0";"87";"Wind blowing from the south";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"3.5";"-3.1";"0.1";"12";"";"";"";"";
"26.01.2023 15:00";"-1.5";"751.3";"765.6";"-0.9";"86";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"11.0";"-3.5";"";"";"";"";"";"";
"26.01.2023 12:00";"-1.4";"752.2";"766.5";"-0.6";"79";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-4.6";"";"";"";"";"";"";
"26.01.2023 09:00";"-2.3";"752.8";"767.1";"-0.1";"81";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"-3.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-5.1";"No precipitation";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"22.0";
"26.01.2023 06:00";"-2.5";"752.9";"767.2";"-0.7";"83";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"-3.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-5.1";"No precipitation";"12";"";"";"";"";
"26.01.2023 03:00";"-2.7";"753.6";"767.9";"-1.0";"83";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-5.2";"";"";"";"";"";"";
"26.01.2023 00:00";"-2.6";"754.6";"769.0";"-0.9";"82";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-5.3";"";"";"";"";"";"";
"25.01.2023 21:00";"-1.5";"755.5";"769.9";"-0.9";"84";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"-1.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"19.0";"-3.9";"No precipitation";"12";"";"";"";"";
"25.01.2023 18:00";"-1.2";"756.4";"770.8";"-1.2";"80";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"19.0";"-4.2";"No precipitation";"12";"";"";"";"";
"25.01.2023 15:00";"-1.3";"757.6";"771.9";"-1.5";"80";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-4.4";"";"";"";"";"";"";
"25.01.2023 12:00";"-1.1";"759.1";"773.5";"-0.2";"80";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-4.1";"";"";"";"";"";"";
"25.01.2023 09:00";"-1.4";"759.3";"773.7";"-0.4";"80";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"-1.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"-4.5";"No precipitation";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"23.0";
"25.01.2023 06:00";"-1.3";"759.7";"774.1";"-0.6";"77";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"-1.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-4.9";"No precipitation";"12";"";"";"";"";
"25.01.2023 03:00";"-0.9";"760.3";"774.7";"-0.1";"82";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"-3.7";"";"";"";"";"";"";
"25.01.2023 00:00";"-0.9";"760.4";"774.8";"-0.5";"83";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"-3.5";"";"";"";"";"";"";
"24.01.2023 21:00";"-0.7";"760.9";"775.3";"-0.5";"81";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"-0.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"-3.6";"No precipitation";"12";"";"";"";"";
"24.01.2023 18:00";"-0.4";"761.4";"775.8";"-1.0";"77";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"-4.0";"No precipitation";"12";"";"";"";"";
"24.01.2023 15:00";"-0.1";"762.4";"776.8";"-1.4";"74";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-4.2";"";"";"";"";"";"";
"24.01.2023 12:00";"-1.0";"763.8";"778.2";"-0.4";"81";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-3.9";"";"";"";"";"";"";
"24.01.2023 09:00";"-2.2";"764.2";"778.7";"-0.6";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"-2.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"-4.5";"No precipitation";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"23.0";
"24.01.2023 06:00";"-2.0";"764.8";"779.4";"-0.6";"82";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"-2.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-4.7";"No precipitation";"12";"";"";"";"";
"24.01.2023 03:00";"-2.1";"765.4";"780.0";"-0.6";"83";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"18.0";"-4.7";"";"";"";"";"";"";
"24.01.2023 00:00";"-2.3";"766.0";"780.6";"-0.3";"83";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"14.0";"-4.8";"";"";"";"";"";"";
"23.01.2023 21:00";"-2.1";"766.3";"780.8";"-0.3";"78";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"-2.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"16.0";"-5.5";"0.1";"12";"";"";"";"";
